episode,success,collision,timeout,steps,path_length,episode_reward,run_tag
1,1,0,0,459,39.2126,17.0731,ppo
2,1,0,0,479,50.7458,5.441,ppo
3,1,0,0,479,50.7346,5.4684,ppo
4,1,0,0,480,50.7838,5.4779,ppo
5,1,0,0,480,50.8087,5.4534,ppo
6,1,0,0,480,50.8087,5.4534,ppo
7,1,0,0,480,50.8087,5.4534,ppo
8,1,0,0,480,50.8087,5.4534,ppo
9,1,0,0,480,50.8087,5.4534,ppo
10,1,0,0,480,50.8087,5.4534,ppo
11,1,0,0,480,50.8087,5.4534,ppo
12,1,0,0,480,50.8087,5.4534,ppo
13,1,0,0,480,50.8087,5.4534,ppo
14,1,0,0,480,50.8087,5.4534,ppo
15,1,0,0,480,50.8087,5.4534,ppo
16,1,0,0,480,50.8087,5.4534,ppo
17,1,0,0,480,50.8087,5.4534,ppo
18,1,0,0,480,50.8087,5.4534,ppo
19,1,0,0,480,50.8087,5.4534,ppo
20,1,0,0,480,50.8087,5.4534,ppo
21,1,0,0,480,50.8087,5.4534,ppo
22,1,0,0,480,50.8087,5.4534,ppo
23,1,0,0,480,50.8087,5.4534,ppo
24,1,0,0,480,50.8087,5.4534,ppo
25,1,0,0,480,50.8087,5.4534,ppo
26,1,0,0,480,50.8087,5.4534,ppo
27,1,0,0,480,50.8087,5.4534,ppo
28,1,0,0,480,50.8087,5.4534,ppo
29,1,0,0,480,50.8087,5.4534,ppo
30,1,0,0,480,50.8087,5.4534,ppo
31,1,0,0,480,50.8087,5.4534,ppo
32,1,0,0,480,50.8087,5.4534,ppo
33,1,0,0,480,50.8087,5.4534,ppo
34,1,0,0,480,50.8087,5.4534,ppo
35,1,0,0,480,50.8087,5.4534,ppo
36,1,0,0,480,50.8087,5.4534,ppo
37,1,0,0,480,50.8087,5.4534,ppo
38,1,0,0,480,50.8087,5.4534,ppo
39,1,0,0,480,50.8087,5.4534,ppo
40,1,0,0,480,50.8087,5.4534,ppo
41,1,0,0,480,50.8087,5.4534,ppo
42,1,0,0,480,50.8087,5.4534,ppo
43,1,0,0,480,50.8087,5.4534,ppo
44,1,0,0,480,50.8087,5.4534,ppo
45,1,0,0,480,50.8087,5.4534,ppo
46,1,0,0,480,50.8087,5.4534,ppo
47,1,0,0,480,50.8087,5.4534,ppo
48,1,0,0,480,50.8087,5.4534,ppo
49,1,0,0,480,50.8087,5.4534,ppo
50,1,0,0,480,50.8087,5.4534,ppo
51,1,0,0,480,50.8087,5.4534,ppo
52,1,0,0,480,50.8087,5.4534,ppo
53,1,0,0,480,50.8087,5.4534,ppo
54,1,0,0,480,50.8087,5.4534,ppo
55,1,0,0,480,50.8087,5.4534,ppo
56,1,0,0,480,50.8087,5.4534,ppo
57,1,0,0,480,50.8087,5.4534,ppo
58,1,0,0,480,50.8087,5.4534,ppo
59,1,0,0,480,50.8087,5.4534,ppo
60,1,0,0,480,50.8087,5.4534,ppo
61,1,0,0,480,50.8087,5.4534,ppo
62,1,0,0,480,50.8087,5.4534,ppo
63,1,0,0,480,50.8087,5.4534,ppo
64,1,0,0,480,50.8087,5.4534,ppo
